kind,model,dim,param,seed_tag,n,alpha,intercept,alpha_lo,alpha_hi,R2,kendall_tau,spearman_rho,slope_theil_sen,grid_label,size_label
unitary,random2body,d=2,kappa=0.40,0xe6e83eb7,600,0.7683812497649019,-0.673461274720663,0.702294697644074,0.8340678413373271,0.49793401233623735,0.5210016694490818,0.7105238625662849,0.8062082540850255,kappa=0.40,"nS=2,nE=3"
unitary,random2body,d=2,kappa=0.60,0x7139af4b,600,0.2358172271366076,-0.4277387714362362,0.14204772156928272,0.3305127188776816,0.0555003435085748,0.12247078464106843,0.183078341884283,0.19021306567577626,kappa=0.60,"nS=2,nE=3"
unitary,random2body,d=2,kappa=0.80,0x93d5fa14,600,0.12236501316694089,-0.39117886319040823,0.029871077377656024,0.20871318747516027,0.014617652586475072,0.06280467445742904,0.0924160344889847,0.100387756320341,kappa=0.80,"nS=2,nE=3"
unitary,random2body,d=2,kappa=0.40,0xd748440f,600,0.3647426906375988,-0.4471515381444014,0.27781647002598897,0.4598505544917365,0.11946169059664236,0.22353923205342238,0.3302112505868071,0.38006284102922616,kappa=0.40,"nS=3,nE=2"
unitary,random2body,d=2,kappa=0.60,0x19a24d37,600,0.1648740088963187,-0.2819889972484679,0.10268290486342628,0.23272371406269585,0.04638331172017518,0.13747356705620478,0.20580057166825463,0.16564203346069462,kappa=0.60,"nS=3,nE=2"
unitary,random2body,d=2,kappa=0.80,0x04ebe7f1,600,0.2570131465483512,-0.36556029590565775,0.17285827550632368,0.34950775727482447,0.05508483684660648,0.13175292153589316,0.19601748893746926,0.23404350505596808,kappa=0.80,"nS=3,nE=2"
unitary,random2body,d=2,kappa=0.40,0x5622a10a,600,0.9542715622460761,-0.7714820370083179,0.9115111019068297,0.9981285864015326,0.7618602461223731,0.6728992765720645,0.8579637721215891,0.9740479325931006,kappa=0.40,"nS=2,nE=4"
unitary,random2body,d=2,kappa=0.60,0x08db6db7,600,0.31045452105942967,-0.4613266854616199,0.18575457689740393,0.438371104657974,0.06006477799021703,0.10989426822481914,0.16081094669707416,0.21769020378607926,kappa=0.60,"nS=2,nE=4"
unitary,random2body,d=2,kappa=0.80,0x950266eb,600,0.4439621785159459,-0.5142735847284988,0.33893267637622243,0.5488354837441909,0.12430903593196796,0.22089037284362825,0.3267896299711943,0.43391335677437276,kappa=0.80,"nS=2,nE=4"
unitary,random2body,d=2,kappa=0.40,0x2d8a2266,600,0.6171617234926178,-0.6413013317691205,0.5415729957604544,0.6921290501348883,0.33150002720193195,0.37597106288258203,0.5355102097505826,0.6185543275487594,kappa=0.40,"nS=3,nE=3"
unitary,random2body,d=2,kappa=0.60,0x6b50fed8,600,0.5713809633758631,-0.6049848938606507,0.48956526198133626,0.6488596509640111,0.3384210420727576,0.35654980523094043,0.5060772391034419,0.5483080430356092,kappa=0.60,"nS=3,nE=3"
unitary,random2body,d=2,kappa=0.80,0x4f06a0e1,600,0.23046035056455888,-0.3692966052133518,0.15229280484502034,0.3069427199455137,0.062481093030122725,0.13127434613244296,0.19432592868313522,0.1862737586953791,kappa=0.80,"nS=3,nE=3"
unitary,random2body,d=2,kappa=0.40,0x3cba3ca1,600,0.667376089201143,-0.6133136706949959,0.5832124602690764,0.7474733698207834,0.3487351405416368,0.4027601558152476,0.5697726938130383,0.6737736085962914,kappa=0.40,"nS=4,nE=2"
unitary,random2body,d=2,kappa=0.60,0xe10b0480,600,0.45207979596616016,-0.38032417605888336,0.33304290639472717,0.5673899252058157,0.10101672128059258,0.18559821925431272,0.2746794296650824,0.42227434495112603,kappa=0.60,"nS=4,nE=2"
unitary,random2body,d=2,kappa=0.80,0xed936818,600,0.32501419844033663,-0.32114773135091046,0.21627186355215575,0.441970632725138,0.0710493080312874,0.13965498052309405,0.20760668779635494,0.27453500139613446,kappa=0.80,"nS=4,nE=2"
unitary,pswap,d=2,kappa=0.40,0x9822c9e8,600,0.13429408170840448,-1.5117342641492413,0.12686128769699426,0.14327205173401117,0.9562857234556164,0.9999999999999999,0.9999999999999999,0.17508417981130558,kappa=0.40,"nS=1,nE=1"
unitary,pswap,d=2,kappa=0.60,0x70e902f4,600,0.15033235811478438,-1.2819999991859954,0.1414349934187781,0.16078167086955455,0.9437656725555902,0.9999999999999999,0.9999999999999999,0.19993059072093639,kappa=0.60,"nS=1,nE=1"
unitary,pswap,d=2,kappa=0.80,0x562bb045,600,0.1729499314442972,-1.0960150260227968,0.16409253347026986,0.18352455098706286,0.9453431067281441,0.9999999999999999,0.9999999999999999,0.22444091417254608,kappa=0.80,"nS=1,nE=1"
unitary,pswap,d=2,kappa=0.40,0x65b4dae4,600,0.37467654794242367,-1.24076814849329,0.33823652924698644,0.41333369145176285,0.6838766290298499,0.7056204785754034,0.8881686893574703,0.3896018936121266,kappa=0.40,"nS=1,nE=2"
unitary,pswap,d=2,kappa=0.60,0x7273ff14,600,0.3902270982620712,-1.0905262915527703,0.35127483557211925,0.4300960611458922,0.712604302166781,0.7222148024485252,0.8994761652115699,0.3882064908326189,kappa=0.60,"nS=1,nE=2"
unitary,pswap,d=2,kappa=0.80,0xb4548f0b,600,0.38828675210287483,-0.9959062286381802,0.35580387136568215,0.4263406229173861,0.6892067531145301,0.7092042292710072,0.8907203631121197,0.41106329911646255,kappa=0.80,"nS=1,nE=2"
unitary,pswap,d=2,kappa=0.40,0x2809f5a1,600,0.3171245635937012,-1.2381824622398576,0.28714454790025107,0.34536888940763816,0.8748827655831335,0.9010016694490818,0.9863835177319936,0.2838873454883977,kappa=0.40,"nS=2,nE=1"
unitary,pswap,d=2,kappa=0.60,0xb6dfb956,600,0.3320997650133663,-1.0737932758012807,0.3128243032319596,0.3535234087410919,0.8998290265471245,0.9189204229271006,0.990876863546843,0.32243049035859905,kappa=0.60,"nS=2,nE=1"
unitary,pswap,d=2,kappa=0.80,0x89c35ab8,600,0.3846602405134911,-0.9098013682094828,0.36419844377331917,0.4063179457673289,0.9143801622529625,0.9286143572621034,0.9921323114786429,0.36432159224722593,kappa=0.80,"nS=2,nE=1"
